courses, requisite
CMPS5J, _
CMPS11, CMPS5J & (MATH11A | MATH19A | AMS 3| AMS11A | ECON11A)
CMPS12A, MATH3 | MATH11A | MATH19A | AMS3 | AMS11A | ECON11A
CMPS12B, CMPS11 | CMPS12A | CMPE13
CMPS13H, !
CMPS101, (MATH19B | MATH20B | 11B) & (MATH21 | MATH22 | MATH23A | AMS 10) & (CMPS12B | CMPS13H) & CMPE16
CMPS102, CMPS101
CMPS104A, CMPS101 & CMPE12
CMPS111, CMPS101 & CMPE110
CMPS112, CMPS101
CMPS115, CMPS101
CMPS116, CMPS115
CMPS117, CMPS116
CMPS130, CMPS101
CMPS132, CMPS130
CMPS180, CMPS101
CMPS185, CMPS101
CMPE12, CMPS5J | CMPS12A
CMPE13, CMPE12
CMPE16, MATH19A
CMPE110, (CMPE12 | CMPE13) & (CMPS11 | CMPS12A)
CMPE107, CMPE16 & MATH23A
AMS10, _
AMS131, MATH19A | MATH19B
PHYS5A, MATH19A | MATH19B
PHYS5B, (MATH19A | MATH20A) & PHYS5A
PHYSC, (MATH19B | MATH20B) & PHYS5A
PHYS6A, MATH19A | MATH20A
PHYS6B, (MATH19A | MATH20A) & (PHYS6A | PHYS5A)
PHY6C, (MATH19B | MATH20B) & (PHYS6A | PHYS5A)
CHEM1A, _
CHEM1B, CHEM1A
